incident_year,recovery_status,provoked_unprovoked,victim_activity
1991.0,fatal,unprovoked,diving
1991.0,injured,unprovoked,boarding
1992.0,injured,unprovoked,boarding
1992.0,uninjured,unprovoked,boarding
1992.0,uninjured,provoked,
1992.0,injured,unprovoked,boarding
1992.0,injured,unprovoked,boarding
1992.0,fatal,unprovoked,boarding
1993.0,injured,provoked,spearfishing
1993.0,uninjured,provoked,spearfishing
1993.0,injured,provoked,spearfishing
1993.0,fatal,unprovoked,diving
1993.0,fatal,unprovoked,diving
1993.0,fatal,provoked,diving
1993.0,uninjured,unprovoked,boarding
1994.0,injured,unprovoked,swimming
1994.0,injured,unprovoked,swimming
1994.0,injured,provoked,fishing
1994.0,injured,unprovoked,swimming
1994.0,injured,provoked,diving
1995.0,uninjured,provoked,diving
1995.0,injured,unprovoked,boarding
1995.0,injured,unprovoked,boarding
1995.0,uninjured,unprovoked,boarding
1995.0,injured,unprovoked,diving
1995.0,uninjured,unprovoked,diving
1995.0,fatal,unprovoked,diving
1995.0,injured,unprovoked,other: standing in water
1995.0,injured,provoked,
1995.0,injured,unprovoked,swimming
1995.0,injured,unprovoked,swimming
1996.0,injured,unprovoked,other: standing in water
1996.0,injured,provoked,spearfishing
1996.0,injured,unprovoked,swimming
1996.0,injured,provoked,other: standing in water
1996.0,injured,unprovoked,swimming
1996.0,injured,unprovoked,swimming
1996.0,injured,unprovoked,swimming
1996.0,uninjured,unprovoked,boarding
1996.0,injured,unprovoked,other: standing in water
1996.0,injured,unprovoked,boarding
1996.0,injured,unprovoked,boarding
1997.0,injured,unprovoked,snorkelling
1997.0,injured,unprovoked,boarding
1997.0,uninjured,unprovoked,unmotorised boating
1997.0,injured,unprovoked,diving
1997.0,injured,unprovoked,swimming
1997.0,uninjured,unprovoked,unmotorised boating
1997.0,injured,unprovoked,boarding
1997.0,injured,unprovoked,boarding
1997.0,uninjured,unprovoked,boarding
1997.0,injured,unprovoked,diving
1997.0,injured,unprovoked,other: standing in water
1997.0,injured,unprovoked,swimming
1997.0,injured,unprovoked,swimming
1998.0,injured,provoked,diving
1998.0,uninjured,unprovoked,snorkelling
1998.0,injured,unprovoked,boarding
1998.0,fatal,unprovoked,snorkelling
1998.0,injured,unprovoked,diving
1998.0,injured,provoked,diving
1998.0,injured,unprovoked,boarding
1998.0,injured,provoked,spearfishing
1999.0,injured,unprovoked,boarding
1999.0,fatal,unprovoked,boarding
1999.0,injured,provoked,diving
1999.0,uninjured,unprovoked,diving
1999.0,uninjured,provoked,diving
2000.0,uninjured,unprovoked,boarding
2000.0,injured,unprovoked,boarding
2000.0,injured,unprovoked,swimming
2000.0,injured,unprovoked,swimming
2000.0,injured,unprovoked,boarding
2000.0,uninjured,unprovoked,boarding
2000.0,injured,unprovoked,swimming
2000.0,uninjured,unprovoked,unmotorised boating
2000.0,uninjured,unprovoked,boarding
2000.0,injured,provoked,other: standing in water
2000.0,fatal,unprovoked,boarding
2000.0,fatal,unprovoked,boarding
2000.0,uninjured,provoked,diving
2000.0,injured,unprovoked,swimming
2000.0,uninjured,unprovoked,swimming
2000.0,uninjured,provoked,diving
2000.0,fatal,unprovoked,swimming
2000.0,injured,provoked,spearfishing
2000.0,injured,unprovoked,diving
2001.0,uninjured,unprovoked,boarding
2001.0,uninjured,unprovoked,unmotorised boating
2001.0,injured,unprovoked,boarding
2001.0,injured,unprovoked,snorkelling
2001.0,injured,unprovoked,boarding
2001.0,injured,provoked,snorkelling
2001.0,injured,unprovoked,boarding
